"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C5, C6, C7","5","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2, C3","2","10uF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C8","1","1uF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C9","1","10nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C10","1","C_4.7uF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C11, C12","2","30pF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","R1","1","470","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R2, R3","2","5.1k","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","R4","1","10k","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","SW1","1","SW_Push","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"11","U1","1","STM32F303CCTx","Package_QFP:LQFP-48_7x7mm_P0.5mm",""
"12","U2","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6",""
"13","U3","1","NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"14","USB1","1","HRO-TYPE-C-31-M-12","",""
"15","Y1","1","8Mhz","",""
